DATE,US_MXN_RATES
3/28/2022,20.11
3/25/2022,20.02
3/24/2022,20.075
3/23/2022,20.2208
3/22/2022,20.27
3/21/2022,20.3682
3/18/2022,20.34
3/17/2022,20.515
3/16/2022,20.632
3/15/2022,20.82
3/14/2022,20.9
3/11/2022,20.897
3/10/2022,20.925
3/9/2022,20.892
3/8/2022,21.369
3/7/2022,21.3
3/4/2022,20.935
3/3/2022,20.6336
3/2/2022,20.593
3/1/2022,20.635
2/28/2022,20.461
2/25/2022,20.335
2/24/2022,20.541
2/23/2022,20.226
2/22/2022,20.289
2/21/2022,20.295
2/18/2022,20.28
2/17/2022,20.284
2/16/2022,20.2703
2/15/2022,20.3894
2/14/2022,20.405
2/11/2022,20.526
2/10/2022,20.543
2/9/2022,20.462
2/8/2022,20.598
2/7/2022,20.578
2/4/2022,20.662
2/3/2022,20.531
2/2/2022,20.563
2/1/2022,20.53
1/31/2022,20.625
1/28/2022,20.789
1/27/2022,20.749
1/26/2022,20.731
1/25/2022,20.6
1/24/2022,20.561
1/21/2022,20.451
1/20/2022,20.529
1/19/2022,20.502
1/18/2022,20.396
1/17/2022,20.281
1/14/2022,20.29
1/13/2022,20.333
1/12/2022,20.334
1/11/2022,20.375
1/10/2022,20.36
1/7/2022,20.36
1/6/2022,20.486
1/5/2022,20.565
1/4/2022,20.501
1/3/2022,20.494
12/31/2021,20.487
12/30/2021,20.4586
12/29/2021,20.559
12/28/2021,20.642
12/27/2021,20.672
12/24/2021,20.6
12/23/2021,20.625
12/22/2021,20.695
12/21/2021,20.801
12/20/2021,20.774
12/17/2021,20.833
12/16/2021,20.805
12/15/2021,21.0071
12/14/2021,21.22
12/13/2021,21.01
12/10/2021,20.866
12/9/2021,20.937
12/8/2021,20.921
12/7/2021,21.022
12/6/2021,21.207
12/3/2021,21.264
12/2/2021,21.248
12/1/2021,21.5016
11/30/2021,21.4368
11/29/2021,21.6686
11/26/2021,21.91
11/25/2021,21.5575
11/24/2021,21.409
11/23/2021,21.1758
11/22/2021,20.985
11/19/2021,20.824
11/18/2021,20.765
11/17/2021,20.64
11/16/2021,20.7216
11/15/2021,20.603
11/12/2021,20.509
11/11/2021,20.6328
11/10/2021,20.621
11/9/2021,20.301
11/8/2021,20.32
11/5/2021,20.317
11/4/2021,20.5382
11/3/2021,20.53
11/2/2021,20.777
11/1/2021,20.831
10/29/2021,20.545
10/28/2021,20.365
10/27/2021,20.301
10/26/2021,20.2
10/25/2021,20.153
10/22/2021,20.165
10/21/2021,20.293
10/20/2021,20.1972
10/19/2021,20.227
10/18/2021,20.4036
10/15/2021,20.329
10/14/2021,20.539
10/13/2021,20.5475
10/12/2021,20.7752
10/11/2021,20.855
10/8/2021,20.689
10/7/2021,20.643
10/6/2021,20.549
10/5/2021,20.552
10/4/2021,20.479
10/1/2021,20.429
9/30/2021,20.63
9/29/2021,20.485
9/28/2021,20.3166
9/27/2021,20.093
9/24/2021,20.04
9/23/2021,20.0431
9/22/2021,20.0831
9/21/2021,20.128
9/20/2021,20.1376
9/17/2021,20.0141
9/16/2021,19.931
9/15/2021,19.854
9/14/2021,19.903
9/13/2021,19.865
9/10/2021,19.881
9/9/2021,19.917
9/8/2021,19.931
9/7/2021,19.922
9/6/2021,19.909
9/3/2021,19.915
9/2/2021,19.9557
9/1/2021,19.982
8/31/2021,20.063
8/30/2021,20.1301
8/27/2021,20.1922
8/26/2021,20.351
8/25/2021,20.215
8/24/2021,20.2
8/23/2021,20.301
8/20/2021,20.347
8/19/2021,20.152
8/18/2021,20.0425
8/17/2021,19.997
8/16/2021,19.886
8/13/2021,19.859
8/12/2021,19.946
8/11/2021,19.915
8/10/2021,20.082
8/9/2021,20.066
8/6/2021,20.024
8/5/2021,19.914
8/4/2021,19.98
8/3/2021,19.87
8/2/2021,19.896
7/30/2021,19.855
7/29/2021,19.838
7/28/2021,19.906
7/27/2021,19.971
7/26/2021,20.027
7/23/2021,20.042
7/22/2021,20.105
7/21/2021,20.131
7/20/2021,20.1389
7/19/2021,20.071
